Battery ,link,12.5,Adafruit Total (with tax and shipping) minus coupon,,
Charging circuit,link,12.5,,,113.12
Voltage booster,link,14.95,,,
Amp,link,5.95,"Digikey Total (with tax, tariff and shipping)",,
Speaker,link,2.22,,,12.32
Start/Select/Special x4,link,0.84,,,
Trigger Button x4,link,1.48,PCBWay Total (only shipping since I have the coupon),,
Other buttons x8,link,0.8,,,6.88
Raspberry Pi 2W,link,16.5,,,
2.8 Display with Control Board,link,29.95,Amazon Total (with tax),,
SD card and adapter,link,8.99,,,20.878
Wires,link,2.95,,,
Wire strippers,link,6.95,,,
82 kohm resistor,link,0.1,,,
100 kohm resistor,link,0.1,,,
PCBWay 5 PCBs,pcbway,0,,,Total cost
"Screws, Nuts, and Washers",link,9.99,,,$153.20